คำที่ลูกค้าพิมพ์,ชื่อมาตรฐานในระบบ,หน่วยมาตรฐาน,,ชื่อสินค้าอัพเดท 05/06/69
"มะเขือเทศราชินีช็อกโกแลต, มะเขือเทศราชินีสีน้ำตาล",มะเขือเทศราชินีช็อกโกแลต,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"ปลาดอลลี่, เนื้อปลาดอลลี่แช่แข็ง, ปลาดอลลี่แช่แข็ง, ปลาดอลลี่แช่แข็งหั่นชิ้น",ปลาดอลลี่ (หั่นชิ้น) แช่แข็ง FROZEN DORY CUBE,"กก, กรัม, Kg, g., kg,แพค,แพ็ค",,
"ตีนไก่, chicken feet",ตีนไก่ CHICKEN FEET,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"เลือดเป็ด, duck blood",เลือดเป็ด | DUCK BLOOD,"กก, กรัม, Kg, g., kg, ก้อน",,
"เลือดไก่, chicken blood",เลือดไก่ | CHICKEN BLOOD,"กก, กรัม, Kg, g., kg, ก้อน",,
"กระดูกอ่อน, กระดูกอ่อนหมู, pork soft ribs",กระดูกอ่อนหมู Pork Soft Ribs,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
ปลาทูนึ่ง ,ปลาทูนึ่ง | Steamed Indo-Pacific mackerel,"กก, กรัม, Kg, g., kg, ตัว, เข่ง",,
ปลาทูสด,ปลาทูสด | Fresh Indo-Pacific mackerel,"กก, กรัม, Kg, g., kg, ตัว, เข่ง",,
"ปีกไก่ส่วนล่าง, ปีกไก่ล่าง, ปีกล่าง",ปีกไก่ส่วนล่าง,"กก, กรัม, Kg, g., kg, ชิ้น",,
ผักกาดดอง,ผักกาดดอง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"strawberry usa pack 8, สตอเบอร์รี่ usa pack 8",สตอเบอร์รี่ | STRAWBERRY USA Pack 8 (454g.),แพ็ค,,
"คากิ, คากิหมู",คากิหมู,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
ใบย่านาง,ใบย่านาง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
รสดีหมู,รสดี ผงปรุง รสหมู 400g.,แพ็ค,,
"เมจิ นมผสมสำหรับชงเครื่องดื่ม(กล่องแดง), เมจิ นมผสมสำหรับชงเครื่องดื่ม",ซีพี-เมจิ มิกซ์มิลค์ สำหรับกาแฟและเครื่องดื่ม 946ml.,กล่อง,,
"ถุงบีบเนย, ถุงบีบครีม, ถุงบีบครีม ไซส์ L",ถุงบีบครีม ไซส์ L,แพ็ค,,
"สะโพกไก่กลาง, สะโพกไก่",สะโพกไก่ | Chicken Thigh,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"น่องติดสะโพก, น่องไก่ติดสะโพก",น่องไก่ติดสะโพก | Whole Chicken Leg,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
น้ำตาลกรวด,น้ำตาลกรวด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"เกร็ดขนมปัง ฟาร์มเฮ้าส์, เกล็ดขนมปัง ฟาร์มเฮ้าส์",ฟาร์มเฮ้าส์ เกล็ดขนมปัง 1kg.,"แพ็ค, ถุง, ห่อ",,
"ชาไทยตรามือถุงสีแดง, ชาตรามือถุงสีแดง",ชาตรามือ ชาผงปรุงสำเร็จ ฉลากแดง 400 ก.,"แพ็ค, ถุง, ห่อ",,
"คริสโป มะกอกเขียวไม่มีเมล็ด 333g., คริสโป มะกอกเขียวไม่มีเมล็ด",คริสโป มะกอกเขียวไม่มีเมล็ด 333g.,กระปุก,,
น้ำยาซักผ้าไฮยีน,ไฮยีน เอ็กซ์เพิร์ทวอช น้ำยาซักผ้า มิลกี้ทัช 1.4 ล.,"แพ็ค, ถุง, ห่อ",,
"Plastic wrap. 30ซม., Plastic wrap. 30cm., ฟิล์มยืดหุ้มอาหาร 30 ซม.",เอโร่ ฟิล์มยืดห่อหุ้มอาหาร 12 นิ้ว กว้าง 30 ซม.x ยาว 500 ม.,ม้วน,,
"นมจืดเอ็มมิลค์, นมจืดพาสเจอร์ไรส์ ตราเอ็มมิลค์ 2L.",นมจืดพาสเจอร์ไรส์ ตราเอ็มมิลค์ 2L.,แกลลอน,,
"สาหร่ายวากาเมะ, วากาแมะ",สาหร่ายวากาเมะ,"แพ็ค, ถุง, ห่อ, กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
ปลาดุก,ปลาดุก Catfish,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
สันนอกหมูแท่ง,สันนอกหมูแท่ง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
หน่อไม้ดอง,หน่อไม้ดอง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"ซีอิ้วขาวฉลากเหลือง ตราเด็กสมบูรณ์, ซีอิ้วขาวฉลากเหลือง, ซีอิ้วขาวสูตร 1",ซีอิ้วขาวฉลากเหลือง ตราเด็กสมบูรณ์,แกลลอน,,
"เบบี้สวิสชาร์ด, Baby Swiss Chard, baby swiss chard ",เบบี้สวิสชาร์ด | Baby Swiss Chard,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"Red Veined Sorrel, Red sorrel, ซอเรลแดง, เรดซอเรล",ซอเรลแดง | Red Veined Sorrel,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"กะปิ ตราชั่ง 400g., กะปิตราชั่ง",กะปิ ตราชั่ง 400g.,กระปุก,,
เส้นCalamarata,ดิเชคโค พาสต้ากลวงมีลายเส้นสั้น #129,"แพ็ค, ถุง, ห่อ",,
"ปลากระป๋องสามแม่ครัว, ปลากระป๋อง, สามแม่ครัวปลากระป๋อง",ปลากระป๋องสามแม่ครัว,"แพ็ค, กระป๋อง",,
มาลี โคโค่ น้ำมะพร้าว,มาลี โคโค่ น้ำมะพร้าวน้ำหอม 100% 1L.,"แพ็ค, กล่อง",,
อะลูมิเนียมฟอยขนาด90×45,เอโร่ อลูมิเนียมฟอยล์ พร้อมที่ตัด 45 ซม. 90 ม.,"แพ็ค, กล่อง ,ม้วน",,
"ฟิล์มยืดหุ้มห่ออาหาร 45ซม, Plastic wrap45cm, ฟิล์มยืดหุ้มห่ออาหาร 18 นิ้ว",เอโร่ ฟิล์มยืดหุ้มห่ออาหาร 18 นิ้ว 45ซม x ยาว 500 ม.,"แพ็ค, ชิ้น ,ม้วน",,
กล่องกระดาษ 600ml,กล่องชามอ้อย 600 มล. 50x1 pack,แพ็ค,,
รสดีไก่,รสดี ผงปรุงรส รสไก่ 400g.,แพ็ค,,
"เงาะ, เงาะสด",เงาะสด FRESH RAMBUTAN,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"ฟองน้ำล้างจาน ยี่ห้อ 3M, สก๊อตไบต์ยี่ห้อ 3M",สก๊อตช์ไบรต์ แผ่นใยขัดพร้อมฟองน้ำ ขนาด 3x4 3M,"แพ็ค, ชิ้น ",,
เส้น Chifferi rigati 500g. ,เส้นพาสต้า Agnesi Chifferi Rigati 500g.,แพ็ค,,
พริกไทยเม็ดขาว,พริกไทยเม็ดขาว 500g.,แพ็ค,,
"กระดาษรองทอดซับมัน 8x8 นิ้ว, 
กระดาษซับน้ำมันของทอด 8x8",กระดาษรองทอดซับมัน 8x8 นิ้ว,แพ็ค,,
เส้นแก้ว,เส้นแก้ว ตราธะนา 1kg./pack,"แพ็ค, ถุง",,
"น้ำดื่ม, น้ำทิพย์",น้ำทิพย์ 550ml.x12,แพ็ค,,
"น้ำยาถูพื้นแกลลอน, น้ำยาถูพื้น, มาจิคลีนน้ำยาถูพื้นชมพู แกลลอน, มาจิคลีนน้ำยาถูพื้นสีชมพู, น้ำยาถูพื้นมาจิคลีนขวดใหญ่, น้ำยาถูพื้นมาจิคลีนขวดใหญ่สีชมพู",มาจิคลีน น้ำยาถูพื้นสีชมพู 5000ml.,แกลลอน,,
พริกแกงเขียวหวาน,พริกแกงเขียวหวาน,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"พริกไทยขาวป่น, พริกไทขาวป่น",พริกไทยขาวป่นแท้ ไร่ทิพย์ 500 g.,แพ็ค,,
"ผงฟู, ผงฟูแม็กกาแรต",ผงฟูแม็กกาแรต (McGarrett) สูตรดับเบิลแอคชั่น ขนาด 300 กรัม,แพ็ค,,
พริกป่นคั่วน้ำมัน,พริกป่นคั่วน้ำมัน,"แพ็ค, ถุง",,
"ตับไก่สด, chicken liver",ตับไก่สด | Chicken Liver,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"ตับหมูสไลด์, pork liver sliced, ตับหมูสไล",ตับหมูสไลด์ | Pork Liver Sliced,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
นมเมจิ5ลิตร,นมเมจิสดรสจืด MEIJI MILK PLAIN 5L.,แกลลอน,,
นมข้นจืดแบบถุง,นมข้นจืด (ไข่เจียว) ตราคาร์เนชั่น ขนาด 1000g.,"แพ็ค, ถุง",,
เครื่องในไก่ ,เครื่องในไก่ | Chicken Giblet,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
แบะแซ ,แบะแซ | Glucose Syrup,"แพ็ค, ลัง, กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
แป้งมันสำปะหลัง ,แป้งมันสำปะหลัง TAPIOGA STARCH,"แพ็ค, ถุง",,
โค้กซีโร่,โค้กซีโร่กระป๋อง 325ml. X6,แพ็ค,,
